totalIterations;numWorkers;Duree;Pi;Error
10000000;1;330;3.1412028000;0.0001240943
10000000;1;329;3.1425604000;0.0003080432
10000000;1;386;3.1415720000;0.0000065742
10000000;1;335;3.1419980000;0.0001290258
10000000;1;369;3.1407388000;0.0002717900
10000000;1;335;3.1417284000;0.0000432094
10000000;1;338;3.1411352000;0.0001456120
10000000;1;335;3.1409760000;0.0001962869
10000000;1;332;3.1416824000;0.0000285672
10000000;1;331;3.1422392000;0.0002058021
10000000;1;334;3.1410440000;0.0001746419
10000000;1;332;3.1410392000;0.0001761697
10000000;1;331;3.1431336000;0.0004904985
10000000;1;333;3.1419096000;0.0001008872
10000000;1;331;3.1410704000;0.0001662385
20000000;2;335;3.1422552000;0.0002108951
20000000;2;339;3.1416580000;0.0000208004
20000000;2;469;3.1422698000;0.0002155424
20000000;2;338;3.1417890000;0.0000624990
20000000;2;346;3.1414448000;0.0000470633
20000000;2;338;3.1416756000;0.0000264027
20000000;2;338;3.1413896000;0.0000646340
20000000;2;348;3.1419446000;0.0001120280
20000000;2;338;3.1409452000;0.0002060909
20000000;2;337;3.1419912000;0.0001268613
20000000;2;338;3.1416544000;0.0000196545
20000000;2;340;3.1413486000;0.0000776847
20000000;2;356;3.1422232000;0.0002007092
20000000;2;339;3.1415152000;0.0000246542
20000000;2;338;3.1419102000;0.0001010782
30000000;3;344;3.1418632000;0.0000861176
30000000;3;342;3.1413764000;0.0000688357
30000000;3;339;3.1418613333;0.0000855234
30000000;3;341;3.1419216000;0.0001047069
30000000;3;343;3.1415789333;0.0000043673
30000000;3;338;3.1412268000;0.0001164548
30000000;3;343;3.1412614667;0.0001054201
30000000;3;342;3.1416965333;0.0000330659
30000000;3;337;3.1416410667;0.0000154104
30000000;3;345;3.1420861333;0.0001570795
30000000;3;335;3.1412238667;0.0001173885
30000000;3;335;3.1421988000;0.0001929424
30000000;3;364;3.1418038667;0.0000672312
30000000;3;334;3.1418652000;0.0000867542
30000000;3;336;3.1418373333;0.0000778840
40000000;4;350;3.1418611000;0.0000854491
40000000;4;344;3.1412547000;0.0001075740
40000000;4;412;3.1419134000;0.0001020968
40000000;4;343;3.1417755000;0.0000582018
40000000;4;345;3.1409170000;0.0002150672
40000000;4;340;3.1415498000;0.0000136407
40000000;4;356;3.1417665000;0.0000553370
40000000;4;344;3.1405765000;0.0003234517
40000000;4;381;3.1418543000;0.0000832846
40000000;4;413;3.1418322000;0.0000762500
40000000;4;360;3.1414306000;0.0000515833
40000000;4;343;3.1411746000;0.0001330706
40000000;4;361;3.1418577000;0.0000843669
40000000;4;342;3.1417504000;0.0000502122
40000000;4;356;3.1417812000;0.0000600162
50000000;5;343;3.1417055200;0.0000359265
50000000;5;348;3.1414672800;0.0000399077
50000000;5;352;3.1415474400;0.0000143919
50000000;5;351;3.1416018400;0.0000029241
50000000;5;449;3.1416796000;0.0000276759
50000000;5;354;3.1414928000;0.0000317844
50000000;5;350;3.1418345600;0.0000770012
50000000;5;350;3.1416414400;0.0000155292
50000000;5;344;3.1417038400;0.0000353917
50000000;5;343;3.1418376000;0.0000779689
50000000;5;346;3.1417380000;0.0000462652
50000000;5;343;3.1412674400;0.0001035187
50000000;5;371;3.1416612800;0.0000218445
50000000;5;343;3.1418012000;0.0000663824
50000000;5;343;3.1417695200;0.0000562983
60000000;6;353;3.1417375333;0.0000461167
60000000;6;352;3.1415730667;0.0000062347
60000000;6;360;3.1412849333;0.0000979504
60000000;6;355;3.1412600667;0.0001058657
60000000;6;353;3.1411238000;0.0001492407
60000000;6;377;3.1415758000;0.0000053647
60000000;6;357;3.1419201333;0.0001042400
60000000;6;366;3.1414063333;0.0000593076
60000000;6;381;3.1420416667;0.0001429253
60000000;6;354;3.1417576667;0.0000525253
60000000;6;357;3.1415766000;0.0000051100
60000000;6;353;3.1420933333;0.0001593713
60000000;6;422;3.1414656000;0.0000404424
60000000;6;357;3.1417060000;0.0000360793
60000000;6;355;3.1415820667;0.0000033699
70000000;7;429;3.1415407429;0.0000165237
70000000;7;405;3.1417227429;0.0000414087
70000000;7;417;3.1413561143;0.0000752928
70000000;7;396;3.1414074857;0.0000589408
70000000;7;443;3.1418537714;0.0000831164
70000000;7;403;3.1412357143;0.0001136173
70000000;7;492;3.1415433714;0.0000156870
70000000;7;429;3.1416507429;0.0000184904
70000000;7;390;3.1417228571;0.0000414451
70000000;7;403;3.1415473714;0.0000144138
70000000;7;400;3.1413365714;0.0000815135
70000000;7;392;3.1412702286;0.0001026311
70000000;7;393;3.1417414286;0.0000473565
70000000;7;407;3.1417238857;0.0000417725
70000000;7;501;3.1416598857;0.0000214006
80000000;8;453;3.1415445000;0.0000153278
80000000;8;443;3.1416099000;0.0000054897
80000000;8;432;3.1414019000;0.0000607188
80000000;8;432;3.1415796000;0.0000041551
80000000;8;426;3.1415534000;0.0000124948
80000000;8;472;3.1418087500;0.0000687856
80000000;8;438;3.1413846000;0.0000662255
80000000;8;426;3.1420213500;0.0001364583
80000000;8;445;3.1414670000;0.0000399968
80000000;8;432;3.1415320500;0.0000192907
80000000;8;462;3.1413574500;0.0000748676
80000000;8;540;3.1412644500;0.0001044704
80000000;8;435;3.1413070000;0.0000909264
80000000;8;435;3.1420124500;0.0001336253
80000000;8;444;3.1418054000;0.0000677193